code,name,category,revenue_yoy_growth,profit_loss_yoy_growth,roe,eps,composite_score
5170,SARAWAK CABLE BERHAD,"Industrial Materials, Components & Equipment",0.0,0.0,1.3,-1.21,0.018000000000000016
5232,LEON FUAT BERHAD,Metals,0.0,0.0,0.0,0.05,0.010000000000000002
7234,LOTUS CIRCULAR BERHAD,Personal Goods,0.0,0.0,0.0,0.04,0.008
5032,BINTULU PORT HOLDINGS BERHAD,Transportation & Logistics Services,8.739946380697061,-13.84615384615384,1.5,6.1,-0.011862239637033145
7214,A-RANK BERHAD,Metals,-12.168141592920357,9.375,1.8,1.93,-0.0919424778761066
0193,KINERGY ADVANCEMENT BERHAD,Industrial Engineering,67.6954732510288,-70.09803921568627,2.8,0.31,-0.09876978939724163
3859,MAGNUM BERHAD,"Travel, Leisure & Hospitality",-0.8645533141210415,-1.6778523489932915,1.2,2.04,-0.11472169893429984
6378,WMG HOLDINGS BERHAD,Property,0.0,0.0,-0.5,-0.1,-0.12000000000000001
5068,LUSTER INDUSTRIES BHD.,"Industrial Materials, Components & Equipment",0.0,-0.0,-0.8,-0.08,-0.17600000000000005
1643,LANDMARKS BERHAD,"Travel, Leisure & Hospitality",0.0,-0.0,-0.3,-0.78,-0.21600000000000003
3573,LIEN HOE CORPORATION BERHAD,Property,0.0,-0.0,-0.8,-0.6,-0.28
7033,KUMPULAN H & L HIGH-TECH BERHAD,Industrial Engineering,-14.28571428571429,6.451612903225801,4.7,5.64,-0.2822304147465464
7277,DIALOG GROUP BERHAD,"Energy, Infrastructure, Equipment & Services",-18.69554074833418,14.220877458396377,2.6,2.68,-0.28639898698134214
8192,MERCURY INDUSTRIES BERHAD,Construction,0.0,0.0,-0.9,-0.6,-0.30000000000000004
7153,KOSSAN RUBBER INDUSTRIES BERHAD,Health Care Equipment & Services,25.74969021065676,-28.292682926829272,0.8,1.15,-0.3728978148517538
7174,CAB CAKARAN CORPORATION BERHAD,Agricultural Products,6.2275664034457945,-9.345794392523366,1.4,1.39,-0.3774683967232713
7215,NI HSIN RESOURCES BERHAD,Houshold Goods,0.0,0.0,-1.8,-0.28,-0.41600000000000004
5295,INNATURE BERHAD,Personal Goods,-2.187499999999998,0.0,0.8,0.15,-0.4662499999999993
7089,LII HEN INDUSTRIES BHD.,Houshold Goods,0.0,-0.0,-1.2,-1.19,-0.478
7022,GLOBETRONICS TECHNOLOGY BERHAD,Semiconductors,0.0,0.0,-1.7,-0.77,-0.49400000000000005
7219,MINETECH RESOURCES BERHAD,Building Materials,0.0,0.0,-2.8,-0.14,-0.588
8923,JIANKUN INTERNATIONAL BERHAD,Property,0.0,0.0,-2.6,-0.41,-0.602
9881,LEADER STEEL HOLDINGS BERHAD,Metals,0.0,-0.0,-1.0,-2.19,-0.638
5298,OM HOLDINGS LIMITED,Metals,0.0,0.0,-2.6,-0.9,-0.7000000000000001
8044,COMPUTER FORMS (MALAYSIA) BERHAD,Industrial Services,0.0,0.0,-2.9,-1.29,-0.838
5220,GLOBALTEC FORMATION BERHAD,"Industrial Materials, Components & Equipment",-11.290322580645162,7.692307692307687,0.5,0.52,-0.8754044665012424
0269,DS SIGMA HOLDINGS BERHAD,Packaging Materials,8.636363636363642,-13.888888888888884,2.7,0.65,-0.9057575757575725
2542,RIVERVIEW RUBBER ESTATES BERHAD,Plantation,-5.319148936170215,0.0,0.5,2.88,-0.9197446808510644
7811,SAPURA INDUSTRIAL BERHAD,Auto Parts,-5.966277561608302,0.0,1.7,2.61,-0.9278832684824905
7134,PWF CORPORATION BERHAD,Agricultural Products,-7.518248175182485,0.0,2.8,3.54,-0.9874744525547455
5827,ORIENTAL INTEREST BERHAD,Property,4.330512692882027,-16.235294117647058,4.5,7.65,-1.141434427429509
9318,FITTERS DIVERSIFIED BERHAD,"Industrial Materials, Components & Equipment",41.40730717185386,-45.90163934426229,0.8,0.14,-1.1602996517225308
